"Connecticut 53, Butler 41"
"Connecticut 56, Kentucky 55"
"Butler 70, VCU 62"
"Kentucky 76, North Carolina 69"
"VCU 71, Kansas 61"
"Butler 74, Florida 71"
"Connecticut 65, Arizona 63"
"Kentucky 62, Ohio St. 60"
"North Carolina 81, Marquette 63"
"VCU 72, Florida State 71"
"Kansas 77, Richmond 57"
"Butler 61, Wisconsin 54"
"Florida 83, BYU 74"
"Arizona 93, Duke 77"
"Connecticut 74, San Diego St. 67"
"North Carolina 86, Washington 83"
"Duke 73, Michigan 71"
"Marquette 66, Syracuse 62"
"Ohio St. 98, George Mason 66"
"Kansas 73, Illinois 59"
"Florida State 71, Notre Dame 57"
"VCU 94, Purdue 76"
"Arizona 70, Texas 69"
"San Diego St. 71, Temple 64"
"Connecticut 69, Cincinnati 58"
"Butler 71, Pittsburgh 70"
"Kentucky 71, West Virginia 63"
"Wisconsin 70, Kansas St. 65"
"Florida 73, UCLA 65"
"BYU 89, Gonzaga 67"
"Richmond 65, Morehead St. 48"
"Texas 85, Oakland 81"
"Washington 68, Georgia 65"
"North Carolina 102, Long Island 87"
"Duke 87, Hampton 45"
"Michigan 75, Tennessee 45"
"Syracuse 77, Indiana St. 60"
"Marquette 66, Xavier 55"
"Ohio St. 75, UTSA 46"
"George Mason 61, Villanova 57"
"Kansas 72, Boston U. 53"
"Illinois 73, UNLV 62"
"Purdue 65, Saint Peter's 43"
"Florida State 57, Texas A&M 50"
"Notre Dame 69, Akron 56"
"Arizona 77, Memphis 75"
"Cincinnati 78, Missouri 63"
"Gonzaga 86, St. John's (NY) 71"
"BYU 74, Wofford 66"
"Richmond 69, Vanderbilt 66"
"Morehead St. 62, Louisville 61"
"VCU 74, Georgetown 56"
"Connecticut 81, Bucknell 52"
"Pittsburgh 74, UNC Asheville 51"
"Kansas St. 73, Utah St. 68"
"Temple 66, Penn St. 64"
"San Diego St. 68, Northern Colo. 50"
"UCLA 78, Michigan St. 76"
"Kentucky 59, Princeton 57"
"Florida 79, UC Santa Barbara 51"
"Wisconsin 72, Belmont 58"
"Butler 60, Old Dominion 58"
"West Virginia 84, Clemson 76"
"VCU 59, Southern California 46"
"UTSA 70, Alabama St. 61"
"Clemson 70, UAB 52"
"UNC Asheville 81, UALR 77"
