"Kentucky 67, Kansas 59"
"Kansas 64, Ohio St. 62"
"Kentucky 69, Louisville 61"
"Kansas 80, North Carolina 67"
"Kentucky 82, Baylor 70"
"Ohio St. 77, Syracuse 70"
"Louisville 72, Florida 68"
"Kentucky 102, Indiana 90"
"Baylor 75, Xavier 70"
"Kansas 60, North Carolina St. 57"
"North Carolina 73, Ohio 65"
"Florida 68, Marquette 58"
"Louisville 57, Michigan St. 44"
"Syracuse 64, Wisconsin 63"
"Ohio St. 81, Cincinnati 66"
"Xavier 67, Notre Dame 63"
"Cincinnati 62, Florida St. 56"
"Kansas 63, Purdue 60"
"Florida 84, Norfolk St. 50"
"Xavier 70, Lehigh 58"
"North Carolina 87, Creighton 73"
"Michigan St. 65, Saint Louis 61"
"North Carolina St. 66, Georgetown 63"
"Ohio 62, South Fla. 56"
"Wisconsin 60, Vanderbilt 57"
"Syracuse 75, Kansas St. 59"
"Louisville 59, New Mexico 56"
"Indiana 63, VCU 61"
"Kentucky 87, Iowa St. 71"
"Marquette 62, Murray St. 53"
"Baylor 80, Colorado 63"
"Ohio St. 73, Gonzaga 66"
"Kansas 65, Detroit 50"
"Lehigh 75, Duke 70"
"North Carolina 77, Vermont 58"
"Michigan St. 89, LIU Brooklyn 67"
"Saint Louis 61, Memphis 54"
"Georgetown 74, Belmont 59"
"North Carolina St. 79, San Diego St. 65"
"South Fla. 58, Temple 44"
"Purdue 72, St. Mary's (CA) 69"
"Norfolk St. 86, Missouri 84"
"Ohio 65, Michigan 60"
"Florida 71, Virginia 45"
"Creighton 58, Alabama 57"
"Florida St. 66, St. Bonaventure 63"
"Cincinnati 65, Texas 59"
"Indiana 79, New Mexico St. 66"
"VCU 62, Wichita St. 59"
"New Mexico 75, Long Beach St. 68"
"Louisville 69, Davidson 62"
"Wisconsin 73, Montana 49"
"Baylor 68, South Dakota St. 60"
"Syracuse 72, UNC Asheville 65"
"Ohio St. 78, Loyola Maryland 59"
"Gonzaga 77, West Virginia 54"
"Kansas St. 70, Southern Miss. 64"
"Iowa St. 77, Connecticut 64"
"Kentucky 81, Western Ky. 66"
"Marquette 88, BYU 68"
"Murray St. 58, Colorado St. 41"
"Vanderbilt 79, Harvard 70"
"Colorado 68, UNLV 64"
"South Fla. 65, California 54"
"Vermont 71, Lamar 59"
"BYU 78, Iona 72"
"Western Ky. 59, Mississippi Val. 58"
