"Michigan St. 76, Louisville 70"
"Duke 66, Gonzaga 52"
"Wisconsin 85, Arizona 78"
"Kentucky 68, Notre Dame 66"
"Michigan St. 62, Oklahoma 58"
"Louisville 75, North Carolina St. 65"
"Duke 63, Utah 57"
"Gonzaga 74, UCLA 62"
"Arizona 68, Xavier 60"
"Wisconsin 79, North Carolina 72"
"Kentucky 78, West Virginia 39"
"Notre Dame 81, Wichita St. 70"
"Gonzaga 87, Iowa 68"
"Louisville 66, UNI 53"
"West Virginia 69, Maryland 59"
"Oklahoma 72, Dayton 66"
"Wisconsin 72, Oregon 65"
"Wichita St. 78, Kansas 65"
"Duke 68, San Diego St. 49"
"Michigan St. 60, Virginia 54"
"Notre Dame 67, Butler 64"
"North Carolina St. 71, Villanova 68"
"Utah 75, Georgetown 64"
"Arizona 73, Ohio St. 58"
"Kentucky 64, Cincinnati 51"
"UCLA 92, UAB 75"
"North Carolina 87, Arkansas 78"
"Xavier 75, Georgia St. 67"
"Oregon 79, Oklahoma St. 73"
"Dayton 66, Providence 53"
"Oklahoma 69, Albany 60"
"Maryland 65, Valparaiso 62"
"West Virginia 68, Buffalo 62"
"Iowa 83, Davidson 52"
"Gonzaga 86, North Dakota St. 76"
"Louisville 57, UC Irvine 55"
"UNI 71, Wyoming 54"
"Wisconsin 86, Coastal Carolina 72"
"Wichita St. 81, Indiana 76"
"Kansas 75, New Mexico St. 56"
"San Diego St. 76, St. John's (NY) 64"
"Duke 85, Robert Morris 56"
"Virginia 79, Belmont 67"
"Michigan St. 70, Georgia 63"
"Georgetown 84, Eastern Wash. 74"
"Utah 57, Stephen F. Austin 50"
"Ohio St. 75, VCU 72"
"Arizona 93, Texas Southern 72"
"North Carolina St. 66, LSU 65"
"Villanova 93, Lafayette 52"
"Butler 56, Texas 48"
"Notre Dame 69, Northeastern 65"
"Kentucky 79, Hampton 56"
"Cincinnati 66, Purdue 65"
"UCLA 60, SMU 59"
"UAB 60, Iowa St. 59"
"Arkansas 56, Wofford 53"
"North Carolina 67, Harvard 65"
"Xavier 76, Ole Miss 57"
"Georgia St. 57, Baylor 56"
