Wisconsin,75,Dook,20,0,Championship
Kentucky,64,Wisconsin,71,0,Final Four
Duke,81,Michigan St.,61,6,Final Four
Louisville,70,Michigan St.,76,3,Elite Eight
Duke,66,Gonzaga,52,1,Elite Eight
Wisconsin,85,Arizona,78,1,Elite Eight
Kentucky,68,Notre Dame,66,2,Elite Eight
Oklahoma,58,Michigan St.,62,4,Sweet Sixteen
Louisville,75,North Carolina St.,65,4,Sweet Sixteen
Duke,63,Utah,57,4,Sweet Sixteen
Gonzaga,74,UCLA,62,9,Sweet Sixteen
Arizona,68,Xavier,60,4,Sweet Sixteen
Wisconsin,79,North Carolina,72,3,Sweet Sixteen
Kentucky,78,West Virginia,39,4,Sweet Sixteen
Notre Dame,81,Wichita St.,70,4,Sweet Sixteen
Gonzaga,87,Iowa,68,5,Second Round
Louisville,66,UNI,53,1,Second Round
Maryland,59,West Virginia,69,1,Second Round
Oklahoma,72,Dayton,66,8,Second Round
Wisconsin,72,Oregon,65,7,Second Round
Kansas,65,Wichita St.,78,5,Second Round
Duke,68,San Diego St.,49,7,Second Round
Virginia,54,Michigan St.,60,5,Second Round
Notre Dame,67,Butler,64,3,Second Round
Villanova,68,North Carolina St.,71,7,Second Round
Georgetown,64,Utah,75,1,Second Round
Arizona,73,Ohio St.,58,8,Second Round
Kentucky,64,Cincinnati,51,7,Second Round
UCLA,92,UAB,75,3,Second Round
North Carolina,87,Arkansas,78,1,Second Round
Xavier,75,Georgia St.,67,8,Second Round
Oregon,79,Oklahoma St.,73,1,First Round
Providence,53,Dayton,66,5,First Round
Oklahoma,69,Albany,60,9,First Round
Maryland,65,Valparaiso,62,9,First Round
West Virginia,68,Buffalo,62,7,First Round
Iowa,83,Davidson,52,3,First Round
Gonzaga,86,North Dakota St.,76,13,First Round
Louisville,57,UC Irvine,55,9,First Round
UNI,71,Wyoming,54,7,First Round
Wisconsin,86,Coastal Carolina,72,15,First Round
Wichita St.,81,Indiana,76,3,First Round
Kansas,75,New Mexico St.,56,13,First Round
San Diego St.,76,St. John's (NY),64,1,First Round
Duke,85,Robert Morris,56,15,First Round
Virginia,79,Belmont,67,15,First Round
Michigan St.,70,Georgia,63,3,First Round
Georgetown,84,Eastern Wash.,74,9,First Round
Utah,57,Stephen F. Austin,50,7,First Round
VCU,72,Ohio St.,75,3,First Round
Arizona,93,Texas Southern,72,13,First Round
North Carolina St.,66,LSU,65,1,First Round
Villanova,93,Lafayette,52,15,First Round
Butler,56,Texas,48,5,First Round
Notre Dame,69,Northeastern,65,11,First Round
Kentucky,79,Hampton,56,15,First Round
Cincinnati,66,Purdue,65,1,First Round
SMU,59,UCLA,60,5,First Round
Iowa St.,59,UAB,60,11,First Round
Arkansas,56,Wofford,53,7,First Round
North Carolina,67,Harvard,65,9,First Round
Xavier,76,Ole Miss,57,5,First Round
Baylor,56,Georgia St.,57,11,First Round
