property1
Result
"UConn 60, Kentucky 54"
"Kentucky 74, Wisconsin 73"
"UConn 63, Florida 53"
"Kentucky 75, Michigan 72"
"UConn 60, Michigan St. 54"
"Wisconsin 64, Arizona 63"
"Florida 62, Dayton 52"
"Kentucky 74, Louisville 69"
"Michigan 73, Tennessee 71"
"Michigan St. 61, Virginia 59"
"UConn 81, Iowa St. 76"
"Wisconsin 69, Baylor 52"
"Arizona 70, San Diego St. 64"
"Dayton 82, Stanford 72"
"Florida 79, UCLA 68"
"Tennessee 83, Mercer 63"
"Kentucky 78, Wichita St. 76"
"Baylor 85, Creighton 55"
"Arizona 84, Gonzaga 61"
"Iowa St. 85, North Carolina 83"
"Virginia 78, Memphis 60"
"Stanford 60, Kansas 57"
"UCLA 77, Stephen F. Austin 60"
"UConn 77, Villanova 65"
"Michigan St. 80, Harvard 73"
"Wisconsin 85, Oregon 77"
"Michigan 79, Texas 65"
"San Diego St. 63, North Dakota St. 44"
"Dayton 55, Syracuse 53"
"Louisville 66, Saint Louis 51"
"Florida 61, Pittsburgh 45"
"Gonzaga 85, Oklahoma St. 77"
"Arizona 68, Weber St. 59"
"UCLA 76, Tulsa 59"
"Stephen F. Austin 77, VCU 75"
"Mercer 78, Duke 71"
"Tennessee 86, Massachusetts 67"
"Kentucky 56, Kansas St. 49"
"Wichita St. 64, Cal Poly 37"
"Creighton 76, La.-Lafayette 66"
"Baylor 74, Nebraska 60"
"Iowa St. 93, N.C. Central 75"
"North Carolina 79, Providence 77"
"Memphis 71, George Washington 66"
"Virginia 70, Coastal Caro. 59"
"Kansas 80, Eastern Ky. 69"
"Stanford 58, New Mexico 53"
"Michigan 57, Wofford 40"
"Texas 87, Arizona St. 85"
"Louisville 71, Manhattan 64"
"Saint Louis 83, North Carolina St. 80"
"Wisconsin 75, American 35"
"Oregon 87, BYU 68"
"San Diego St. 73, New Mexico St. 69"
"North Dakota St. 80, Oklahoma 75"
"Michigan St. 93, Delaware 78"
"Harvard 61, Cincinnati 57"
"Pittsburgh 77, Colorado 48"
"Florida 67, Albany (NY) 55"
"Villanova 73, Milwaukee 53"
"UConn 89, Saint Joseph's 81"
"Syracuse 77, Western Mich. 53"
"Dayton 60, Ohio St. 59"
"Tennessee 78, Iowa 65"
"Cal Poly 81, Texas Southern 69"
"North Carolina St. 74, Xavier 59"
"Albany (NY) 71, Mt. St. Mary's 64"
